source_page_id,source_page_url,candidate_url,inferred_doc_type,discovered_in,target_page_id,target_page_type,target_http_status,target_accessed_time,frontier_state,has_page_row,has_fetch_result
547,https://mama.zurnal24.si/prehrana-za-otroske-mozgane-zdravje-zascita-nevrolog/,https://www.dietaryguidelines.gov/sites/default/files/2020-12/Dietary_Guidelines_for_Americans_2020-2025.pdf,PDF,link,559,BINARY,,,QUEUED,true,false
548,https://mama.zurnal24.si/toliko-tekocine-morajo-popiti-otroci-pozimi/,https://www.zd-lj.si/zdlj/images/Navodila_za_star%C5%A1e/OBV_115_-Lulanje_pitje_in_odvajanje_blata-_priporo%C4%8Dila.pdf,PDF,link,1720,BINARY,,,QUEUED,true,false
597,https://mama.zurnal24.si/novorojencek-umrl-zaradi-listerije/,https://nijz.si/wp-content/uploads/2015/02/listerioza_-_nosecnice_.pdf,PDF,link,1764,BINARY,,,QUEUED,true,false
599,https://mama.zurnal24.si/vitamin-d-pomanjkanje-pri-otrocih-in-mladostnikih/,https://nijz.si/wp-content/uploads/2025/11/VIT-D-SMERNICE-19-11-2025_splet_CIP-K2.pdf,PDF,link,1776,BINARY,,,QUEUED,true,false
1013,https://mama.zurnal24.si/alergija-pri-otrocih-osemletni-decek-jedel-jagode-nato-umrl/,https://nijz.si/wp-content/uploads/2022/12/alergije_na_hrano_v_igralnici_-_rok_policnik.pdf,PDF,link,2128,BINARY,,,QUEUED,true,false
1013,https://mama.zurnal24.si/alergija-pri-otrocih-osemletni-decek-jedel-jagode-nato-umrl/,https://nijz.si/wp-content/uploads/2022/11/alergije_pri_otrocihrudan.pdf,PDF,link,2129,BINARY,,,QUEUED,true,false
1088,https://mama.zurnal24.si/zaskrbljujoca-studija-o-otroskih-vzmetnicah/,https://www.niehs.nih.gov/sites/default/files/research/supported/translational/peph/resources/assets/docs/phthalates_the_everywhere_chemical_zero_breast_cancer_508.pdf,PDF,link,2145,BINARY,,,QUEUED,true,false
1174,https://mama.zurnal24.si/za-sedemletnika-usodno-vnetje-uses/,https://www.zd-po.si/rysupsav/2020/10/Vnetje-srednjega-usesa.pdf,PDF,link,2182,BINARY,,,QUEUED,true,false
1240,https://mama.zurnal24.si/atipicna-pljucnica-porast-bolezni-zaradi-katere-vecinoma-zbolevajo-solarji/,https://nijz.si/wp-content/uploads/2023/04/EPI-porocevalec-2023-NIJZ-OENG-november_1-1.pdf,PDF,link,2201,BINARY,,,QUEUED,true,false
1470,https://mama.zurnal24.si/kaj-je-skupno-otrokom-z-mocnim-imunskim-sistemom/,https://aasm.org/resources/pdf/pediatricsleepdurationconsensus.pdf,PDF,link,3645,BINARY,,,QUEUED,true,false
1482,https://mama.zurnal24.si/tako-lahko-zascitite-otroke-pred-rakom/,https://zora.onko-i.si/fileadmin/user_upload/publikacije/informativni_materiali/2017_knjizica_HPV_web.pdf,PDF,link,3684,BINARY,,,QUEUED,true,false
1653,https://mama.zurnal24.si/19-najbolj-nadleznih-nasvetov-ki-jih-slisijo-sodobni-starsi/,https://nijz.si/wp-content/uploads/2016/07/dojenje_kratko_informativno_gradivo.pdf,PDF,link,3791,BINARY,,,QUEUED,true,false
1721,https://mama.zurnal24.si/ali-nosecnice-smejo-uzivati-med/,https://nijz.si/wp-content/uploads/2022/10/Clostridium-botulinum-v-zivilih-IVP-MP.pdf,PDF,link,4021,BINARY,,,QUEUED,true,false
1772,https://mama.zurnal24.si/ozivljanje-dojencka-otroka-kako-ozivljati-dojencka-ali-otroka/,https://www.ukc-mb.si/media/files/uploads/zborniki/Ucbenik_modul3_koncna_november_2022_1.pdf,PDF,link,4007,BINARY,,,QUEUED,true,false
1792,https://mama.zurnal24.si/kako-pogosto-moram-dojiti/,https://nijz.si/wp-content/uploads/2016/07/dojenje_kratko_informativno_gradivo.pdf,PDF,link,3791,BINARY,,,QUEUED,true,false
2048,https://mama.zurnal24.si/32-najslabsih-pasem-za-druzine-z-otroki-slabe-pasme-za-otroke/,https://nijz.si/wp-content/uploads/2022/11/blenkus_jz_2019_04.pdf,PDF,link,4214,BINARY,,,QUEUED,true,false
2104,https://mama.zurnal24.si/strokovnjakinja-odgovarja-lahko-dojim-ce-se-okuzim-s-toksoplazmozo/,https://nijz.si/wp-content/uploads/2022/07/varnost_zivil_nosecnice_listeria_in_toksoplazma_2017_zlozenka_12042017.pdf,PDF,link,5268,BINARY,,,QUEUED,true,false
2158,https://mama.zurnal24.si/zauzitje-kanabisa-pri-otroku-thc-nevarno-dojencki-otrok/,https://www.slovenskapediatrija.si/portals/0/clanki/2013/2013_1-2_20_051-058.pdf,PDF,link,5320,BINARY,,,QUEUED,true,false
2203,https://mama.zurnal24.si/kako-otroku-dati-zdravila-brez-tezav/,https://www.zd-lj.si/zdlj/images/stories/otrok_vrocina-1.pdf,PDF,link,5380,BINARY,,,QUEUED,true,false
3058,https://mama.zurnal24.si/kako-narediti-domace-naloge-manj-stresne/,https://developingchild.harvard.edu/wp-content/uploads/2024/10/InBrief-Executive-Function-Skills-for-Life-and-Learning-2.pdf,PDF,link,6566,BINARY,,,QUEUED,true,false
